Region,Confirmed,Deaths,Recovered,Latitude,Longitude
Rabat-Salé-Kénitra,50,3,2,34.020000,-6.830000
Casablanca-Settat,87,3,3,33.590000,-7.610000
Fès-Meknès,51,1,1,34.037120,-5.002964
Marrakech-Safi,43,2,0,31.630000,-8.000000
Souss-Massa,10,0,0,30.421440,-9.583039
Tanger-Tetouan-Al Hoceima,16,0,0,35.783621,-5.809643
Béni Mellal-Khénifra,7,1,1,32.320296,-6.380926
Oriental,7,0,0,34.680000,-1.910000
Guelmim-Oued Noun,1,0,0,28.986355,-10.057375
Drâa-Tafilalet,3,0,0,31.932124,-4.424149
Laâyoune-Sakia El Hamra,0,0,0,27.158507,-13.207878
Dakhla-Oued Ed-Dahab,0,0,0,23.692847,-15.938255